geo_code,geo_level,area,sex,literacy,total
1,state,Rural,Male,Literate,2891749
1,state,Urban,Male,Literate,1372922
1,district,Rural,Male,Literate,238785
1,district,Urban,Male,Literate,44038
2,district,Rural,Male,Literate,170641
2,district,Urban,Male,Literate,37100
3,district,Rural,Male,Literate,36062
3,district,Urban,Male,Literate,26772
4,district,Rural,Male,Literate,47674
4,district,Urban,Male,Literate,8627
5,district,Rural,Male,Literate,144716
5,district,Urban,Male,Literate,18617
6,district,Rural,Male,Literate,194113
6,district,Urban,Male,Literate,30356
7,district,Rural,Male,Literate,189875
7,district,Urban,Male,Literate,38624
8,district,Rural,Male,Literate,260880
8,district,Urban,Male,Literate,76290
9,district,Rural,Male,Literate,93233
9,district,Urban,Male,Literate,23825
10,district,Rural,Male,Literate,4812
10,district,Urban,Male,Literate,426934
11,district,Rural,Male,Literate,74884
11,district,Urban,Male,Literate,15697
12,district,Rural,Male,Literate,147229
12,district,Urban,Male,Literate,31097
13,district,Rural,Male,Literate,73266
13,district,Urban,Male,Literate,7089
14,district,Rural,Male,Literate,225013
14,district,Urban,Male,Literate,99404
15,district,Rural,Male,Literate,97243
15,district,Urban,Male,Literate,27809
16,district,Rural,Male,Literate,123819
16,district,Urban,Male,Literate,14801
17,district,Rural,Male,Literate,77352
17,district,Urban,Male,Literate,5586
18,district,Rural,Male,Literate,61934
18,district,Urban,Male,Literate,6766
19,district,Rural,Male,Literate,144066
19,district,Urban,Male,Literate,53477
20,district,Rural,Male,Literate,82502
20,district,Urban,Male,Literate,11435
21,district,Rural,Male,Literate,298200
21,district,Urban,Male,Literate,343716
22,district,Rural,Male,Literate,105450
22,district,Urban,Male,Literate,24862
2,state,Rural,Male,Literate,2437821
2,state,Urban,Male,Literate,314769
23,district,Rural,Male,Literate,169271
23,district,Urban,Male,Literate,16793
24,district,Rural,Male,Literate,568564
24,district,Urban,Male,Literate,37879
25,district,Rural,Male,Literate,12897
25,district,Urban,Male,Literate,0
26,district,Rural,Male,Literate,156267
26,district,Urban,Male,Literate,18283
27,district,Rural,Male,Literate,366395
27,district,Urban,Male,Literate,27274
28,district,Rural,Male,Literate,166483
28,district,Urban,Male,Literate,14072
29,district,Rural,Male,Literate,194476
29,district,Urban,Male,Literate,18805
30,district,Rural,Male,Literate,144487
30,district,Urban,Male,Literate,11112
31,district,Rural,Male,Literate,195211
31,district,Urban,Male,Literate,49161
32,district,Rural,Male,Literate,180611
32,district,Urban,Male,Literate,25006
33,district,Rural,Male,Literate,246462
33,district,Urban,Male,Literate,96384
34,district,Rural,Male,Literate,36697
34,district,Urban,Male,Literate,0
3,state,Rural,Male,Literate,6158807
3,state,Urban,Male,Literate,4277249
35,district,Rural,Male,Literate,616852
35,district,Urban,Male,Literate,290808
36,district,Rural,Male,Literate,196919
36,district,Urban,Male,Literate,119335
37,district,Rural,Male,Literate,392867
37,district,Urban,Male,Literate,489714
38,district,Rural,Male,Literate,496632
38,district,Urban,Male,Literate,141295
39,district,Rural,Male,Literate,188612
39,district,Urban,Male,Literate,50543
40,district,Rural,Male,Literate,160922
40,district,Urban,Male,Literate,77774
41,district,Rural,Male,Literate,557296
41,district,Urban,Male,Literate,871052
42,district,Rural,Male,Literate,260725
42,district,Urban,Male,Literate,87824
43,district,Rural,Male,Literate,489462
43,district,Urban,Male,Literate,217608
44,district,Rural,Male,Literate,204933
44,district,Urban,Male,Literate,95468
45,district,Rural,Male,Literate,130300
45,district,Urban,Male,Literate,85467
46,district,Rural,Male,Literate,287532
46,district,Urban,Male,Literate,200729
47,district,Rural,Male,Literate,182103
47,district,Urban,Male,Literate,61934
48,district,Rural,Male,Literate,393440
48,district,Urban,Male,Literate,317612
49,district,Rural,Male,Literate,386035
49,district,Urban,Male,Literate,546946
50,district,Rural,Male,Literate,323165
50,district,Urban,Male,Literate,53262
51,district,Rural,Male,Literate,203376
51,district,Urban,Male,Literate,75158
52,district,Rural,Male,Literate,178533
52,district,Urban,Male,Literate,231411
53,district,Rural,Male,Literate,377587
53,district,Urban,Male,Literate,192826
54,district,Rural,Male,Literate,131516
54,district,Urban,Male,Literate,70483
4,state,Rural,Male,Literate,12752
4,state,Urban,Male,Literate,452594
55,district,Rural,Male,Literate,12752
55,district,Urban,Male,Literate,452594
5,state,Rural,Male,Literate,2596171
5,state,Urban,Male,Literate,1267537
56,district,Rural,Male,Literate,117095
56,district,Urban,Male,Literate,11142
57,district,Rural,Male,Literate,126871
57,district,Urban,Male,Literate,28524
58,district,Rural,Male,Literate,86853
58,district,Urban,Male,Literate,4950
59,district,Rural,Male,Literate,195356
59,district,Urban,Male,Literate,32050
60,district,Rural,Male,Literate,292382
60,district,Urban,Male,Literate,409834
61,district,Rural,Male,Literate,213355
61,district,Urban,Male,Literate,48793
62,district,Rural,Male,Literate,159729
62,district,Urban,Male,Literate,29894
63,district,Rural,Male,Literate,93588
63,district,Urban,Male,Literate,3958
64,district,Rural,Male,Literate,201819
64,district,Urban,Male,Literate,29785
65,district,Rural,Male,Literate,86379
65,district,Urban,Male,Literate,15636
66,district,Rural,Male,Literate,234254
66,district,Urban,Male,Literate,151525
67,district,Rural,Male,Literate,379437
67,district,Urban,Male,Literate,219088
68,district,Rural,Male,Literate,409053
68,district,Urban,Male,Literate,282358
6,state,Rural,Male,Literate,6140099
6,state,Urban,Male,Literate,3653968
69,district,Rural,Male,Literate,95926
69,district,Urban,Male,Literate,133936
70,district,Rural,Male,Literate,244282
70,district,Urban,Male,Literate,217006
71,district,Rural,Male,Literate,276833
71,district,Urban,Male,Literate,197960
72,district,Rural,Male,Literate,253287
72,district,Urban,Male,Literate,117541
73,district,Rural,Male,Literate,293066
73,district,Urban,Male,Literate,92716
74,district,Rural,Male,Literate,380886
74,district,Urban,Male,Literate,183630
75,district,Rural,Male,Literate,243714
75,district,Urban,Male,Literate,220422
76,district,Rural,Male,Literate,400112
76,district,Urban,Male,Literate,189769
77,district,Rural,Male,Literate,377967
77,district,Urban,Male,Literate,124082
78,district,Rural,Male,Literate,258814
78,district,Urban,Male,Literate,68657
79,district,Rural,Male,Literate,331990
79,district,Urban,Male,Literate,124978
80,district,Rural,Male,Literate,439026
80,district,Urban,Male,Literate,231174
81,district,Rural,Male,Literate,511763
81,district,Urban,Male,Literate,131395
