geo_code,geo_level,area,sex,total
1,state,Urban,Male,1866185
1,district,Rural,Male,412038
1,district,Urban,Male,62152
2,district,Rural,Male,343385
2,district,Urban,Male,54656
3,district,Rural,Male,48411
3,district,Urban,Male,30560
4,district,Rural,Male,67703
4,district,Urban,Male,10082
5,district,Rural,Male,229774
5,district,Urban,Male,22125
6,district,Rural,Male,310748
6,district,Urban,Male,34603
7,district,Rural,Male,278126
7,district,Urban,Male,47983
8,district,Rural,Male,432399
8,district,Urban,Male,102334
9,district,Rural,Male,172263
9,district,Urban,Male,35417
10,district,Rural,Male,8916
10,district,Urban,Male,642208
11,district,Rural,Male,133715
11,district,Urban,Male,25005
12,district,Rural,Male,248096
12,district,Urban,Male,44968
13,district,Rural,Male,127161
13,district,Urban,Male,9319
14,district,Rural,Male,411012
14,district,Urban,Male,148755
15,district,Rural,Male,175574
15,district,Urban,Male,42046
16,district,Rural,Male,195430
16,district,Urban,Male,18211
17,district,Rural,Male,142317
17,district,Urban,Male,6815
18,district,Rural,Male,111986
18,district,Urban,Male,8179
19,district,Rural,Male,232974
19,district,Urban,Male,63810
20,district,Rural,Male,151481
20,district,Urban,Male,14980
21,district,Rural,Male,401603
21,district,Urban,Male,412218
22,district,Rural,Male,139365
22,district,Urban,Male,29759
2,state,Rural,Male,3110345
2,state,Urban,Male,371528
23,district,Rural,Male,241963
23,district,Urban,Male,19357
24,district,Rural,Male,705365
24,district,Urban,Male,45226
25,district,Rural,Male,16588
25,district,Urban,Male,0
26,district,Rural,Male,203269
26,district,Urban,Male,22183
27,district,Rural,Male,466050
27,district,Urban,Male,32015
28,district,Rural,Male,200748
28,district,Urban,Male,16322
29,district,Rural,Male,240254
29,district,Urban,Male,23438
30,district,Rural,Male,179653
30,district,Urban,Male,13111
31,district,Rural,Male,249736
31,district,Urban,Male,59018
32,district,Rural,Male,246175
32,district,Urban,Male,30114
33,district,Rural,Male,314295
33,district,Urban,Male,110744
34,district,Rural,Male,46249
34,district,Urban,Male,0
3,state,Rural,Male,9093476
3,state,Urban,Male,5545989
35,district,Rural,Male,855784
35,district,Urban,Male,356833
36,district,Rural,Male,275932
36,district,Urban,Male,150379
37,district,Rural,Male,528790
37,district,Urban,Male,616421
38,district,Rural,Male,634470
38,district,Urban,Male,174587
39,district,Rural,Male,248118
39,district,Urban,Male,65173
40,district,Rural,Male,220050
40,district,Urban,Male,100745
41,district,Rural,Male,753444
41,district,Urban,Male,1114372
42,district,Rural,Male,405704
42,district,Urban,Male,120216
43,district,Rural,Male,776208
43,district,Urban,Male,295429
44,district,Rural,Male,342202
44,district,Urban,Male,133420
45,district,Rural,Male,210782
45,district,Urban,Male,115889
46,district,Rural,Male,474484
46,district,Urban,Male,268713
47,district,Rural,Male,322184
47,district,Urban,Male,86548
48,district,Rural,Male,598800
48,district,Urban,Male,403722
49,district,Rural,Male,607266
49,district,Urban,Male,711142
50,district,Rural,Male,514322
50,district,Urban,Male,75047
51,district,Rural,Male,264089
51,district,Urban,Male,93396
52,district,Rural,Male,240984
52,district,Urban,Male,288269
53,district,Rural,Male,604653
53,district,Urban,Male,273376
54,district,Rural,Male,215210
54,district,Urban,Male,102312
4,state,Rural,Male,17150
4,state,Urban,Male,563513
55,district,Rural,Male,17150
55,district,Urban,Male,563513
5,state,Rural,Male,3519042
5,state,Urban,Male,1618731
56,district,Rural,Male,155375
