,,State,District,Level,Name,TRU,Total,sex,literacy type
Level,1,1,0,STATE,JAMMU & KASHMIR,Rural,2891749,Male,Literate
Level,2,1,0,STATE,JAMMU & KASHMIR,Urban,1372922,Male,Literate
Level,4,1,1,DISTRICT,Kupwara,Rural,238785,Male,Literate
Level,5,1,1,DISTRICT,Kupwara,Urban,44038,Male,Literate
Level,7,1,2,DISTRICT,Badgam,Rural,170641,Male,Literate
Level,8,1,2,DISTRICT,Badgam,Urban,37100,Male,Literate
Level,10,1,3,DISTRICT,Leh(Ladakh),Rural,36062,Male,Literate
Level,11,1,3,DISTRICT,Leh(Ladakh),Urban,26772,Male,Literate
Level,13,1,4,DISTRICT,Kargil,Rural,47674,Male,Literate
Level,14,1,4,DISTRICT,Kargil,Urban,8627,Male,Literate
Level,16,1,5,DISTRICT,Punch,Rural,144716,Male,Literate
Level,17,1,5,DISTRICT,Punch,Urban,18617,Male,Literate
Level,19,1,6,DISTRICT,Rajouri,Rural,194113,Male,Literate
Level,20,1,6,DISTRICT,Rajouri,Urban,30356,Male,Literate
Level,22,1,7,DISTRICT,Kathua,Rural,189875,Male,Literate
Level,23,1,7,DISTRICT,Kathua,Urban,38624,Male,Literate
Level,25,1,8,DISTRICT,Baramula,Rural,260880,Male,Literate
Level,26,1,8,DISTRICT,Baramula,Urban,76290,Male,Literate
Level,28,1,9,DISTRICT,Bandipore,Rural,93233,Male,Literate
Level,29,1,9,DISTRICT,Bandipore,Urban,23825,Male,Literate
Level,31,1,10,DISTRICT,Srinagar,Rural,4812,Male,Literate
Level,32,1,10,DISTRICT,Srinagar,Urban,426934,Male,Literate
Level,34,1,11,DISTRICT,Ganderbal,Rural,74884,Male,Literate
Level,35,1,11,DISTRICT,Ganderbal,Urban,15697,Male,Literate
Level,37,1,12,DISTRICT,Pulwama,Rural,147229,Male,Literate
Level,38,1,12,DISTRICT,Pulwama,Urban,31097,Male,Literate
Level,40,1,13,DISTRICT,Shupiyan,Rural,73266,Male,Literate
Level,41,1,13,DISTRICT,Shupiyan,Urban,7089,Male,Literate
Level,43,1,14,DISTRICT,Anantnag,Rural,225013,Male,Literate
Level,44,1,14,DISTRICT,Anantnag,Urban,99404,Male,Literate
Level,46,1,15,DISTRICT,Kulgam,Rural,97243,Male,Literate
Level,47,1,15,DISTRICT,Kulgam,Urban,27809,Male,Literate
Level,49,1,16,DISTRICT,Doda,Rural,123819,Male,Literate
Level,50,1,16,DISTRICT,Doda,Urban,14801,Male,Literate
Level,52,1,17,DISTRICT,Ramban,Rural,77352,Male,Literate
Level,53,1,17,DISTRICT,Ramban,Urban,5586,Male,Literate
Level,55,1,18,DISTRICT,Kishtwar,Rural,61934,Male,Literate
Level,56,1,18,DISTRICT,Kishtwar,Urban,6766,Male,Literate
Level,58,1,19,DISTRICT,Udhampur,Rural,144066,Male,Literate
Level,59,1,19,DISTRICT,Udhampur,Urban,53477,Male,Literate
Level,61,1,20,DISTRICT,Reasi,Rural,82502,Male,Literate
Level,62,1,20,DISTRICT,Reasi,Urban,11435,Male,Literate
Level,64,1,21,DISTRICT,Jammu,Rural,298200,Male,Literate
Level,65,1,21,DISTRICT,Jammu,Urban,343716,Male,Literate
Level,67,1,22,DISTRICT,Samba,Rural,105450,Male,Literate
Level,68,1,22,DISTRICT,Samba,Urban,24862,Male,Literate
Level,70,2,0,STATE,HIMACHAL PRADESH,Rural,2437821,Male,Literate
Level,71,2,0,STATE,HIMACHAL PRADESH,Urban,314769,Male,Literate
Level,73,2,23,DISTRICT,Chamba,Rural,169271,Male,Literate
Level,74,2,23,DISTRICT,Chamba,Urban,16793,Male,Literate
Level,76,2,24,DISTRICT,Kangra,Rural,568564,Male,Literate
Level,77,2,24,DISTRICT,Kangra,Urban,37879,Male,Literate
Level,79,2,25,DISTRICT,Lahul & Spiti,Rural,12897,Male,Literate
Level,80,2,25,DISTRICT,Lahul & Spiti,Urban,0,Male,Literate
Level,82,2,26,DISTRICT,Kullu,Rural,156267,Male,Literate
Level,83,2,26,DISTRICT,Kullu,Urban,18283,Male,Literate
Level,85,2,27,DISTRICT,Mandi,Rural,366395,Male,Literate
Level,86,2,27,DISTRICT,Mandi,Urban,27274,Male,Literate
Level,88,2,28,DISTRICT,Hamirpur,Rural,166483,Male,Literate
Level,89,2,28,DISTRICT,Hamirpur,Urban,14072,Male,Literate
Level,91,2,29,DISTRICT,Una,Rural,194476,Male,Literate
Level,92,2,29,DISTRICT,Una,Urban,18805,Male,Literate
Level,94,2,30,DISTRICT,Bilaspur,Rural,144487,Male,Literate
Level,95,2,30,DISTRICT,Bilaspur,Urban,11112,Male,Literate
Level,97,2,31,DISTRICT,Solan,Rural,195211,Male,Literate
Level,98,2,31,DISTRICT,Solan,Urban,49161,Male,Literate
Level,100,2,32,DISTRICT,Sirmaur,Rural,180611,Male,Literate
Level,101,2,32,DISTRICT,Sirmaur,Urban,25006,Male,Literate
