,,State,District,Level,Name,TRU,Total,sex
Level,1,1,0,STATE,JAMMU & KASHMIR,Rural,4774477,Male
Level,2,1,0,STATE,JAMMU & KASHMIR,Urban,1866185,Male
Level,4,1,1,DISTRICT,Kupwara,Rural,412038,Male
Level,5,1,1,DISTRICT,Kupwara,Urban,62152,Male
Level,7,1,2,DISTRICT,Badgam,Rural,343385,Male
Level,8,1,2,DISTRICT,Badgam,Urban,54656,Male
Level,10,1,3,DISTRICT,Leh(Ladakh),Rural,48411,Male
Level,11,1,3,DISTRICT,Leh(Ladakh),Urban,30560,Male
Level,13,1,4,DISTRICT,Kargil,Rural,67703,Male
Level,14,1,4,DISTRICT,Kargil,Urban,10082,Male
Level,16,1,5,DISTRICT,Punch,Rural,229774,Male
Level,17,1,5,DISTRICT,Punch,Urban,22125,Male
Level,19,1,6,DISTRICT,Rajouri,Rural,310748,Male
Level,20,1,6,DISTRICT,Rajouri,Urban,34603,Male
Level,22,1,7,DISTRICT,Kathua,Rural,278126,Male
Level,23,1,7,DISTRICT,Kathua,Urban,47983,Male
Level,25,1,8,DISTRICT,Baramula,Rural,432399,Male
Level,26,1,8,DISTRICT,Baramula,Urban,102334,Male
Level,28,1,9,DISTRICT,Bandipore,Rural,172263,Male
Level,29,1,9,DISTRICT,Bandipore,Urban,35417,Male
Level,31,1,10,DISTRICT,Srinagar,Rural,8916,Male
Level,32,1,10,DISTRICT,Srinagar,Urban,642208,Male
Level,34,1,11,DISTRICT,Ganderbal,Rural,133715,Male
Level,35,1,11,DISTRICT,Ganderbal,Urban,25005,Male
Level,37,1,12,DISTRICT,Pulwama,Rural,248096,Male
Level,38,1,12,DISTRICT,Pulwama,Urban,44968,Male
Level,40,1,13,DISTRICT,Shupiyan,Rural,127161,Male
Level,41,1,13,DISTRICT,Shupiyan,Urban,9319,Male
Level,43,1,14,DISTRICT,Anantnag,Rural,411012,Male
Level,44,1,14,DISTRICT,Anantnag,Urban,148755,Male
Level,46,1,15,DISTRICT,Kulgam,Rural,175574,Male
Level,47,1,15,DISTRICT,Kulgam,Urban,42046,Male
Level,49,1,16,DISTRICT,Doda,Rural,195430,Male
Level,50,1,16,DISTRICT,Doda,Urban,18211,Male
Level,52,1,17,DISTRICT,Ramban,Rural,142317,Male
Level,53,1,17,DISTRICT,Ramban,Urban,6815,Male
Level,55,1,18,DISTRICT,Kishtwar,Rural,111986,Male
Level,56,1,18,DISTRICT,Kishtwar,Urban,8179,Male
Level,58,1,19,DISTRICT,Udhampur,Rural,232974,Male
Level,59,1,19,DISTRICT,Udhampur,Urban,63810,Male
Level,61,1,20,DISTRICT,Reasi,Rural,151481,Male
Level,62,1,20,DISTRICT,Reasi,Urban,14980,Male
Level,64,1,21,DISTRICT,Jammu,Rural,401603,Male
Level,65,1,21,DISTRICT,Jammu,Urban,412218,Male
Level,67,1,22,DISTRICT,Samba,Rural,139365,Male
Level,68,1,22,DISTRICT,Samba,Urban,29759,Male
Level,70,2,0,STATE,HIMACHAL PRADESH,Rural,3110345,Male
Level,71,2,0,STATE,HIMACHAL PRADESH,Urban,371528,Male
Level,73,2,23,DISTRICT,Chamba,Rural,241963,Male
Level,74,2,23,DISTRICT,Chamba,Urban,19357,Male
Level,76,2,24,DISTRICT,Kangra,Rural,705365,Male
Level,77,2,24,DISTRICT,Kangra,Urban,45226,Male
Level,79,2,25,DISTRICT,Lahul & Spiti,Rural,16588,Male
Level,80,2,25,DISTRICT,Lahul & Spiti,Urban,0,Male
Level,82,2,26,DISTRICT,Kullu,Rural,203269,Male
Level,83,2,26,DISTRICT,Kullu,Urban,22183,Male
Level,85,2,27,DISTRICT,Mandi,Rural,466050,Male
Level,86,2,27,DISTRICT,Mandi,Urban,32015,Male
Level,88,2,28,DISTRICT,Hamirpur,Rural,200748,Male
Level,89,2,28,DISTRICT,Hamirpur,Urban,16322,Male
Level,91,2,29,DISTRICT,Una,Rural,240254,Male
Level,92,2,29,DISTRICT,Una,Urban,23438,Male
Level,94,2,30,DISTRICT,Bilaspur,Rural,179653,Male
Level,95,2,30,DISTRICT,Bilaspur,Urban,13111,Male
Level,97,2,31,DISTRICT,Solan,Rural,249736,Male
Level,98,2,31,DISTRICT,Solan,Urban,59018,Male
Level,100,2,32,DISTRICT,Sirmaur,Rural,246175,Male
Level,101,2,32,DISTRICT,Sirmaur,Urban,30114,Male
Level,103,2,33,DISTRICT,Shimla,Rural,314295,Male
Level,104,2,33,DISTRICT,Shimla,Urban,110744,Male
Level,106,2,34,DISTRICT,Kinnaur,Rural,46249,Male
Level,107,2,34,DISTRICT,Kinnaur,Urban,0,Male
Level,109,3,0,STATE,PUNJAB,Rural,9093476,Male
Level,110,3,0,STATE,PUNJAB,Urban,5545989,Male
Level,112,3,35,DISTRICT,Gurdaspur,Rural,855784,Male
Level,113,3,35,DISTRICT,Gurdaspur,Urban,356833,Male
Level,115,3,36,DISTRICT,Kapurthala,Rural,275932,Male
Level,116,3,36,DISTRICT,Kapurthala,Urban,150379,Male
Level,118,3,37,DISTRICT,Jalandhar,Rural,528790,Male
Level,119,3,37,DISTRICT,Jalandhar,Urban,616421,Male
Level,121,3,38,DISTRICT,Hoshiarpur,Rural,634470,Male
Level,122,3,38,DISTRICT,Hoshiarpur,Urban,174587,Male
Level,124,3,39,DISTRICT,Shahid Bhagat Singh Nagar,Rural,248118,Male
Level,125,3,39,DISTRICT,Shahid Bhagat Singh Nagar,Urban,65173,Male
Level,127,3,40,DISTRICT,Fatehgarh Sahib,Rural,220050,Male
Level,128,3,40,DISTRICT,Fatehgarh Sahib,Urban,100745,Male
Level,130,3,41,DISTRICT,Ludhiana,Rural,753444,Male
Level,131,3,41,DISTRICT,Ludhiana,Urban,1114372,Male
Level,133,3,42,DISTRICT,Moga,Rural,405704,Male
Level,134,3,42,DISTRICT,Moga,Urban,120216,Male
Level,136,3,43,DISTRICT,Firozpur,Rural,776208,Male
Level,137,3,43,DISTRICT,Firozpur,Urban,295429,Male
